payment_date,payment_month,supplier,expense_type,expense_area,supplier_type,supplier_post_code,amount,transaction_number,description
2024-01-03,2024-01-01 00:00:00,IBM UNITED KINGDOM LTD,It Services,Ics - Integrated Corporate Services - Ics - Digital,Vendor,Po6 3ae,279103.0,559564,Ics - Admin-it Services
2024-01-03,2024-01-01 00:00:00,IBM UNITED KINGDOM LTD,It Services,Ics - Integrated Corporate Services - Ics - Digital,Vendor,Po6 3ae,99166.25,559566,Ics - Admin-it Services
2024-01-03,2024-01-01 00:00:00,OMNICOM MEDIA GROUP UK LTD T/A MANNING GOTTLIEB OMD,Advertising,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Vendor,Se1 0sw,25076.72,559603,Desnz - Boiler Upgrade Scheme (Programme)-Advertising
2024-01-03,2024-01-01 00:00:00,HINDUJA GLOBAL SOLUTIONS UK LTD,Outsourced Programme Management,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Vendor,Tw8 9ag,34068.75,558537,Desnz - Energy Bill Discount Scheme Del-prog-outsourced Programme Management
2024-01-03,2024-01-01 00:00:00,IBM UNITED KINGDOM LTD,It Services,Ics - Integrated Corporate Services - Ics - Digital,Vendor,Po6 3ae,187265.0,559556,Ics - Admin-it Services
2024-01-04,2024-01-01 00:00:00,DARTFORD BOROUGH COUNCIL,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Grant,Da1 1dr,114045.19,560789,Desnz - Homes Upgrade Grant (Hug) - Main Scheme-capital Grants To Local Government
2024-01-04,2024-01-01 00:00:00,BEIS COAL HEALTH,Ca - Beis Coal Health Gbs Account,Desnz - Energy Infrastructure - Desnz - Energy Development,Vendor,Sw1h 0et,450000.0,562042,Desnz - Liabilities To Ex-british Coal Employees And Other Liabilities Transferr-ca - Beis Coal Health Gbs Account
2024-01-04,2024-01-01 00:00:00,OVE ARUP AND PARTNERS LTD,Research And Development Expenditure,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Vendor,Ne1 3pl,47060.61,562074,Desnz - Hndu Pipeline And Related Expenditure-research And Development Expenditure
2024-01-04,2024-01-01 00:00:00,SURREY COUNTY COUNCIL,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Vendor,Rh1 1yb,70442.66,560792,Desnz - Homes Upgrade Grant (Hug) - Main Scheme-capital Grants To Local Government
2024-01-04,2024-01-01 00:00:00,SOLAR FLOW LTD,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,Sw11 3bq,29916.0,562034,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish
2024-01-04,2024-01-01 00:00:00,ALEXANDER MANN SOLUTIONS LTD,Other Professional Services,"Desnz - Net Zero, Nuclear & International - Desnz - New Nuclear Strategy And Fusion Energy And Advanced Nuclear Technologies",Vendor,Ec2n 3aq,25931.88,561647,Desnz - Great British Nuclear-other Professional Services
2024-01-04,2024-01-01 00:00:00,TRIAD GROUP PLC,It Services,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Vendor,Gu7 1xe,131397.0,555178,Desnz - Building & Electrification Programme Expenditure-it Services
2024-01-04,2024-01-01 00:00:00,BRISTOL CITY COUNCIL,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Wga Only,Bs1 9ne,497569.0,560786,Desnz - Homes Upgrade Grant (Hug) - Main Scheme-capital Grants To Local Government
2024-01-04,2024-01-01 00:00:00,OXFORDSHIRE COUNTY COUNCIL,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Wga Only,Ox1 1nd,268096.99,560790,Desnz - Homes Upgrade Grant (Hug) - Main Scheme-capital Grants To Local Government
2024-01-04,2024-01-01 00:00:00,RICARDO-AEA LTD,Other Professional Services,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Climate Finance & Strategy",Vendor,Ox11 0qr,56994.5,559405,Desnz - International Climate Finance (Icf)-Other Professional Services
2024-01-04,2024-01-01 00:00:00,OVE ARUP AND PARTNERS LTD,Research And Development Expenditure,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Vendor,Ne1 3pl,70000.0,562035,Desnz - Hndu Pipeline And Related Expenditure-research And Development Expenditure
2024-01-04,2024-01-01 00:00:00,BROADLAND DISTRICT COUNCIL,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Grant,Nr7 0du,204333.45,560787,Desnz - Homes Upgrade Grant (Hug) - Main Scheme-capital Grants To Local Government
2024-01-04,2024-01-01 00:00:00,OVE ARUP AND PARTNERS LTD,Research And Development Expenditure,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Vendor,Ne1 3pl,57185.99,562075,Desnz - Hndu Pipeline And Related Expenditure-research And Development Expenditure
2024-01-04,2024-01-01 00:00:00,MOORHOUSE CONSULTING LTD,Ppm Consultancy,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Vendor,Ec2m 1qs,193505.0,558241,Desnz - Energy Bill Discount Scheme Del-prog-ppm Consultancy
2024-01-04,2024-01-01 00:00:00,MOTT MACDONALD LTD,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,Bn1 4fy,37424.66,560052,Desnz - Delivery Of Beis Energy Innovation-r & D Outsourced Other
2024-01-04,2024-01-01 00:00:00,BARINGA PARTNERS LLP,R & D Economic Consultancy And Research,Desnz - Energy Markets & Supply - Desnz - Energy Markets & Analysis,Vendor,Sw1e 6aj,105194.25,561035,"Desnz - Energy Sector Modelling, Research And Evaluation (Esnm R&D)-R & D Economic Consultancy And Research"
2024-01-04,2024-01-01 00:00:00,BLACKPOOL COUNCIL,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Grant,Fy1 3ah,651239.8,560785,Desnz - Homes Upgrade Grant (Hug) - Main Scheme-capital Grants To Local Government
2024-01-04,2024-01-01 00:00:00,CAMBRIDGE CITY COUNCIL,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Grant,Cb2 3qj,351374.63,560788,Desnz - Homes Upgrade Grant (Hug) - Main Scheme-capital Grants To Local Government
2024-01-04,2024-01-01 00:00:00,SHROPSHIRE COUNCIL,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Wga Only,Sy2 6nd,128258.08,560791,Desnz - Homes Upgrade Grant (Hug) - Main Scheme-capital Grants To Local Government
2024-01-04,2024-01-01 00:00:00,ASHURST LLP,Consultancy Expenditure,Desnz - Energy Infrastructure - Desnz - Hydrogen And Industrial Carbon Capture,Vendor,E1 6pw,226485.5,562099,Desnz - Hydrogen And Industrial Energy Business Models-consultancy Expenditure
2024-01-04,2024-01-01 00:00:00,TRIAD GROUP PLC,Other It Consultancy,Ics - Integrated Corporate Services - Ics - Digital,Vendor,Gu7 1xe,55393.75,562060,Desnz - Desnz Corporate Services Admin-other It Consultancy
2024-01-04,2024-01-01 00:00:00,OVE ARUP AND PARTNERS LTD,Research And Development Expenditure,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Vendor,Ne1 3pl,57500.0,562023,Desnz - Hndu Pipeline And Related Expenditure-research And Development Expenditure
2024-01-04,2024-01-01 00:00:00,OVE ARUP AND PARTNERS LTD,Research And Development Expenditure,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Vendor,Ne1 3pl,87500.0,562021,Desnz - Hndu Pipeline And Related Expenditure-research And Development Expenditure
2024-01-05,2024-01-01 00:00:00,DELOITTE LLP,Procurement Consultancy,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Vendor,Ec4a 3bz,52453.13,558623,Desnz - Energy Bill Discount Scheme Del-prog-procurement Consultancy
2024-01-05,2024-01-01 00:00:00,PHOENIX SOFTWARE LTD,It Software Licences And Software Maintenance,Ics - Integrated Corporate Services - Ics - Digital,Vendor,Yo42 1ns,123469.43,554783,Ics - Admin-it Software Licences And Software Maintenance
2024-01-05,2024-01-01 00:00:00,VMWARE UK LTD,It Software Licences And Software Maintenance,Ics - Integrated Corporate Services - Ics - Digital,Vendor,Tw18 3fa,33861.56,561309,Ics - Admin-it Software Licences And Software Maintenance
2024-01-05,2024-01-01 00:00:00,INTERNATIONAL ATOMIC ENERGY AGENCY,Current Grants To Overseas Bodies,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Vendor,1400,130153.5,561789,Desnz - Peaceful Uses-current Grants To Overseas Bodies
2024-01-05,2024-01-01 00:00:00,RICARDO-AEA LTD,Other Professional Services,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Vendor,Ox11 0qr,61043.88,560783,Desnz - Social Housing Decarbonisation Fund (Shdf)-Other Professional Services
2024-01-05,2024-01-01 00:00:00,PHOENIX SOFTWARE LTD,It Software Licences And Software Maintenance,Ics - Integrated Corporate Services - Ics - Digital,Vendor,Yo42 1ns,126112.21,554782,Ics - Admin-it Software Licences And Software Maintenance
2024-01-05,2024-01-01 00:00:00,SALIX FINANCE LTD,Grant-in-aid To Arms Length Bodies,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Grant,Ec4n 7be,124032.0,562490,Desnz - Salix - Grant In Aid.-Grant-in-aid To Arms Length Bodies
2024-01-05,2024-01-01 00:00:00,MATRIX MOULDING SYSTEMS LTD,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Grant,Ng23 5ff,27720.48,562476,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish
2024-01-05,2024-01-01 00:00:00,HINDUJA GLOBAL SOLUTIONS UK LTD,Outsourced Programme Management,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Vendor,Tw8 9ag,60312.76,562063,Desnz - Energy Bill Discount Scheme Del-prog-outsourced Programme Management
2024-01-05,2024-01-01 00:00:00,SALIX FINANCE LTD,Intra Departmental Expenditure,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Grant,Ec4n 7be,1324726.61,562489,Desnz - Salix - Grant In Aid.-Intra Departmental Expenditure
2024-01-05,2024-01-01 00:00:00,HINDUJA GLOBAL SOLUTIONS UK LTD,Outsourced Programme Management,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Vendor,Tw8 9ag,57397.71,562067,Desnz - Energy Bill Discount Scheme Del-prog-outsourced Programme Management
2024-01-05,2024-01-01 00:00:00,VMWARE UK LTD,It Software Licences And Software Maintenance,Ics - Integrated Corporate Services - Ics - Digital,Vendor,Tw18 3fa,616329.26,561309,Ics - Admin-it Software Licences And Software Maintenance
2024-01-05,2024-01-01 00:00:00,INTERNATIONAL ATOMIC ENERGY AGENCY,Current Grants To Overseas Bodies,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Vendor,1400,433845.0,561787,Desnz - Peaceful Uses-current Grants To Overseas Bodies
2024-01-08,2024-01-01 00:00:00,CARBON TRUST ADVISORY LTD,R & D Research And Development Expenditure,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,Se1 9nt,77356.87,562564,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Research And Development Expenditure
2024-01-08,2024-01-01 00:00:00,STOLI CATALYSTS LTD,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Grant,Cv35 9ef,94204.15,562533,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish
2024-01-08,2024-01-01 00:00:00,CARBON TRUST ADVISORY LTD,R & D Research And Development Expenditure,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,Se1 9nt,116035.31,562650,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Research And Development Expenditure
2024-01-08,2024-01-01 00:00:00,OVE ARUP AND PARTNERS LTD,Technical Advice / Services & Support,"Desnz - Net Zero, Nuclear & International - Desnz - New Nuclear Strategy And Fusion Energy And Advanced Nuclear Technologies",Vendor,Ne1 3pl,291722.0,562314,Desnz - Great British Nuclear-technical Advice / Services & Support
2024-01-08,2024-01-01 00:00:00,FP MCCANN,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Grant,Bt45 8qa,55781.94,562549,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish
2024-01-08,2024-01-01 00:00:00,COAL AUTHORITY,Grant-in-aid To Arms Length Bodies,Desnz - Energy Infrastructure - Desnz - Energy Development,Vendor,Ng18 4rg,5000000.0,561791,Desnz - Payment Of Grant In Aid To The Coal Authority-grant-in-aid To Arms Length Bodies
2024-01-08,2024-01-01 00:00:00,ROCKEFELLER PHILANTHROPY ADVISORS INC,International Subscriptions,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Climate Finance & Strategy",Vendor,10008-7082,96000.0,562275,Desnz - Inz - Care Fund-international Subscriptions
2024-01-08,2024-01-01 00:00:00,OLYMPUS AUTOMATION LTD,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Grant,Pe2 6yn,64152.97,562525,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish
2024-01-08,2024-01-01 00:00:00,BAM NUTTALL LTD,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Grant,Gu15 3xw,250838.31,562558,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other
2024-01-08,2024-01-01 00:00:00,CARBON TRUST ADVISORY LTD,R & D Research And Development Expenditure,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,Se1 9ax,38678.44,562559,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Research And Development Expenditure
