payment_date,payment_month,supplier,expense_type,expense_area,supplier_type,supplier_post_code,amount,transaction_number,description
2024-03-26,2024-03-01 00:00:00,DEEP ISOLATION EMEA LTD,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Grant,Wc2n 5bw,95445.0,584146,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish
2024-03-26,2024-03-01 00:00:00,THE UNIVERSITY OF MANCHESTER,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,M13 9pl,970406.66,583836,Desnz - Net Zero Innovation - Hydrogen-r & D Outsourced Other
2024-03-26,2024-03-01 00:00:00,OXFORD CITY COUNCIL,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Grant,Ox1 1ds,277743.08,581726,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government
2024-03-26,2024-03-01 00:00:00,IPSOS (MARKET RESEARCH) LTD,Programme Monitoring And Evaluation,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Vendor,E1w 1yw,754291.62,576488,Desnz - Energy Price Guarantee - Domestic-programme Monitoring And Evaluation
2024-03-26,2024-03-01 00:00:00,4E IMPLEMENTING AGREEMENT PTY LTD,Professional Subscriptions,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Vendor,Nsw 2257,48701.37,583271,Desnz - Energy Technology List Research & Products Policy Support Services-professional Subscriptions
2024-03-26,2024-03-01 00:00:00,ENVIRONMENT AGENCY,Administration Of Grants And Awards,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Wga Only,Se18 5nj,168302.0,583804,Desnz - Building & Electrification Programme Expenditure-administration Of Grants And Awards
2024-03-26,2024-03-01 00:00:00,POWER ENABLE SOLUTIONS LTD,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Grant,Eh2 1df,60424.67,583667,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish
2024-03-26,2024-03-01 00:00:00,OPEN CLIMATE FIX LTD,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Grant,Se15 4by,25469.42,583671,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish
2024-03-26,2024-03-01 00:00:00,BRAMBLE ENERGY LTD,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Grant,Rh10 9ne,30442.48,584137,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish
2024-03-26,2024-03-01 00:00:00,OMNICOM MEDIA GROUP UK LTD T/A MANNING GOTTLIEB OMD,Marketing And Media,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Vendor,Se1 0sw,90670.68,583717,Desnz - Energy Saving Campaign-marketing And Media
2024-03-26,2024-03-01 00:00:00,FTI CONSULTING LTD,Outsourced Programme Management,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Vendor,Ec1a 4hd,41084.62,572786,Desnz - Energy Bills Relief Scheme-outsourced Programme Management
2024-03-26,2024-03-01 00:00:00,LIVELINK AEROSPACE LTD,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Grant,Po18 9ab,126574.54,584135,Desnz - Net Zero Innovation - Renewables-r & D Current Grants To Private Sector - Npish
2024-03-26,2024-03-01 00:00:00,CRAWLEY BOROUGH COUNCIL,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Vendor,Rh10 1uz,1952864.92,581685,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government
2024-03-26,2024-03-01 00:00:00,RAMBOLL UK LTD,Research And Development Expenditure,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Vendor,Se1 8nw,50000.0,583529,Desnz - Hndu Pipeline And Related Expenditure-research And Development Expenditure
2024-03-26,2024-03-01 00:00:00,DELOITTE LLP,Consultancy Expenditure,"Desnz - Net Zero, Nuclear & International - Desnz - New Nuclear Strategy And Fusion Energy And Advanced Nuclear Technologies",Vendor,Ec4a 3hq,118685.0,583832,Desnz - Great British Nuclear-consultancy Expenditure
2024-03-26,2024-03-01 00:00:00,VMWARE UK LTD,It Software Licences And Software Maintenance,Ics - Integrated Corporate Services - Ics - Digital,Vendor,Tw18 3fa,217172.45,582733,Ics - Admin-it Software Licences And Software Maintenance
2024-03-26,2024-03-01 00:00:00,LONDON BOROUGH OF CAMDEN,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Wga Only,N1c 4ag,162957.76,583396,Desnz - Heat Networks Efficiency Scheme (Hnes)-Capital Grants To Local Government
2024-03-26,2024-03-01 00:00:00,CORNWALL COUNCIL,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Wga Only,Tr1 3ay,119553.75,581682,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government
2024-03-26,2024-03-01 00:00:00,LONDON BOROUGH OF HAMMERSMITH AND FULHAM,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Grant,W6 9ju,221005.79,583395,Desnz - Heat Networks Efficiency Scheme (Hnes)-Capital Grants To Local Government
2024-03-26,2024-03-01 00:00:00,FAIRHIVE HOMES LTD,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Grant,Hp20 2nj,273493.9,581692,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government
2024-03-26,2024-03-01 00:00:00,SYNCHROSTOR LTD,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Grant,Eh20 9th,478837.25,583820,Desnz - Net Zero Innovation - Smart-r & D Outsourced Other
2024-03-26,2024-03-01 00:00:00,XOSERVE LTD,Current Grants To Private Sector - Npish,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Grant,B91 3dl,4551396.79,584121,Desnz - Energy Bill Discount Scheme Ame-current Grants To Private Sector - Npish
2024-03-26,2024-03-01 00:00:00,XOSERVE LTD,Subsidies To The Private Sector - Companies,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Grant,B91 3dl,4671285.09,584121,Desnz - Energy Bill Discount Scheme Ame-subsidies To The Private Sector - Companies
2024-03-26,2024-03-01 00:00:00,ELEXON LTD,Subsidies To The Private Sector - Companies,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Vendor,Nw1 3aw,74618.81,584122,Desnz - Energy Bills Relief Scheme Ame-subsidies To The Private Sector - Companies
2024-03-26,2024-03-01 00:00:00,ULTRA SAFE NUCLEAR CORPORATION UK LTD (USNC-UK),R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,Wa10 6bw,784270.12,583570,Desnz - Net Zero Innovation - Nuclear-r & D Outsourced Other
2024-03-26,2024-03-01 00:00:00,CARBON TRUST ADVISORY LTD,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,Se1 9nt,60000.0,583675,Desnz - Delivery Of Beis Energy Innovation-r & D Outsourced Other
2024-03-26,2024-03-01 00:00:00,FTI CONSULTING LTD,Audit Services,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Vendor,Ec1a 4hd,553286.2,581596,Desnz - Energy Price Guarantee - Domestic-audit Services
2024-03-26,2024-03-01 00:00:00,IBM UNITED KINGDOM LTD,It Services,Ics - Integrated Corporate Services - Ics - Digital,Vendor,Po6 3ae,54428.0,582071,Ics - Admin-it Services
2024-03-26,2024-03-01 00:00:00,LANDIS AND GYR LTD,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Grant,M22 5xb,216972.43,583672,Desnz - Net Zero Innovation - Smart-r & D Current Grants To Private Sector - Npish
2024-03-26,2024-03-01 00:00:00,BRAMBLE ENERGY LTD,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Grant,Rh10 9ne,55447.43,584145,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish
2024-03-26,2024-03-01 00:00:00,THANET DISTRICT COUNCIL,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Grant,Ct9 1xz,219723.36,581753,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government
2024-03-26,2024-03-01 00:00:00,CARBON TRUST ADVISORY LTD,R & D Research And Development Expenditure,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,Se1 9nt,38678.44,583673,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Research And Development Expenditure
2024-03-26,2024-03-01 00:00:00,ITM POWER (TRADING) LTD,R & D Research And Development Expenditure,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,S9 1dz,582753.44,583817,Desnz - Net Zero Innovation - Hydrogen-r & D Research And Development Expenditure
2024-03-26,2024-03-01 00:00:00,FUJITSU SERVICES LTD,Other Professional Services,Ics - Integrated Corporate Services - Ics - Digital,Vendor,Wa3 9bd,68128.0,579870,Ics - Admin-other Professional Services
2024-03-26,2024-03-01 00:00:00,IBM UNITED KINGDOM LTD,It Services,Ics - Integrated Corporate Services - Ics - Digital,Vendor,Po6 3ae,154788.68,582298,Ics - Admin-it Services
2024-03-26,2024-03-01 00:00:00,TECKNUOVO LTD,Other It Consultancy,Ics - Integrated Corporate Services - Ics - Digital,Vendor,Se1 1ja,38600.0,582839,Ics - Admin-other It Consultancy
2024-03-26,2024-03-01 00:00:00,BARINGA PARTNERS LLP,Consultancy Expenditure,Desnz - Energy Infrastructure - Desnz - Hydrogen And Industrial Carbon Capture,Vendor,Sw1e 6aj,57991.0,583629,Desnz - Hydrogen Economy-consultancy Expenditure
2024-03-26,2024-03-01 00:00:00,IPSOS (MARKET RESEARCH) LTD,Pr & Marketing Advice & Services,Desnz - Energy Infrastructure - Desnz - Renewable Electricity Directorate,Vendor,E1w 1yw,62609.46,579727,Desnz - Net Zero Costs - Admin-pr & Marketing Advice & Services
2024-03-26,2024-03-01 00:00:00,NOVELIS UK LTD,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Grant,Wa4 1nn,420466.81,583809,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other
2024-03-26,2024-03-01 00:00:00,DELOITTE LLP,Finance & Accounting Advice,"Desnz - Net Zero, Nuclear & International - Desnz - New Nuclear Strategy And Fusion Energy And Advanced Nuclear Technologies",Vendor,Ec4a 3hq,461795.0,583834,Desnz - Great British Nuclear-finance & Accounting Advice
2024-03-26,2024-03-01 00:00:00,OMNICOM MEDIA GROUP UK LTD T/A MANNING GOTTLIEB OMD,Marketing And Media,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Vendor,Se1 0sw,140463.53,583719,Desnz - Energy Saving Campaign-marketing And Media
2024-03-26,2024-03-01 00:00:00,IBM UNITED KINGDOM LTD,It Services,Ics - Integrated Corporate Services - Ics - Digital,Vendor,Po6 3ae,69654.91,582072,Ics - Admin-it Services
2024-03-26,2024-03-01 00:00:00,FTI CONSULTING LTD,Outsourced Programme Management,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Vendor,Ec1a 4hd,63745.97,568515,Desnz - Energy Bills Relief Scheme-outsourced Programme Management
2024-03-26,2024-03-01 00:00:00,FTI CONSULTING LTD,Outsourced Programme Management,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Vendor,Ec1a 4hd,86694.48,581518,Desnz - Energy Bills Relief Scheme-outsourced Programme Management
2024-03-26,2024-03-01 00:00:00,ELEXON LTD,Subsidies To The Private Sector - Companies,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Vendor,Nw1 3aw,18624474.13,584120,Desnz - Energy Bill Discount Scheme Ame-subsidies To The Private Sector - Companies
2024-03-26,2024-03-01 00:00:00,WILTON PARK EXECUTIVE AGENCY,Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Climate Finance & Strategy",Vendor,Bn44 3dz,30051.26,583564,Desnz - Inz - Care Fund-current Grants To Private Sector - Npish
2024-03-26,2024-03-01 00:00:00,VITAL ENERGI UTILITIES LTD,Capital Grants To Private Sector - Companies,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Vendor,Bb1 2ld,269842.0,581795,Desnz - Green Heat Networks Fund (Ghnf)-Capital Grants To Private Sector - Companies
2024-03-26,2024-03-01 00:00:00,OVE ARUP AND PARTNERS LTD,Research And Development Expenditure,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Vendor,W1t 4bq,96000.0,584204,Desnz - Heat Networks Zoning-research And Development Expenditure
2024-03-26,2024-03-01 00:00:00,SUSTAINABLE ENERGY LTD,Research And Development Expenditure,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Vendor,Cf10 4an,160000.0,584211,Desnz - Hndu Pipeline And Related Expenditure-research And Development Expenditure
2024-03-26,2024-03-01 00:00:00,UKRI-INNOVATE UK,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Wga Only,Sn2 1fl,1192756.87,583576,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish
2024-03-26,2024-03-01 00:00:00,DELOITTE LLP,Finance & Accounting Advice,"Desnz - Net Zero, Nuclear & International - Desnz - New Nuclear Strategy And Fusion Energy And Advanced Nuclear Technologies",Vendor,Ec4a 3hq,368966.25,583831,Desnz - Great British Nuclear-finance & Accounting Advice
2024-03-26,2024-03-01 00:00:00,UNITED UTILITIES WATER PLC,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,Wa55 1wa,520213.38,583776,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other
2024-03-26,2024-03-01 00:00:00,OMNICOM MEDIA GROUP UK LTD T/A MANNING GOTTLIEB OMD,Marketing And Media,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Vendor,Se1 0sw,27587.43,583713,Desnz - Energy Saving Campaign-marketing And Media
2024-03-26,2024-03-01 00:00:00,UK SHARED BUSINESS SERVICES LTD,Uksbs - Service Costs,Ics - Integrated Corporate Services - Ics - Digital,Vendor,Np10 8qq,100487.53,580952,Ics - Admin-uksbs - Service Costs
2024-03-26,2024-03-01 00:00:00,H2GO POWER LTD,R & D Research And Development Expenditure,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Grant,W12 0bz,369259.28,584205,Desnz - Net Zero Innovation - Hydrogen-r & D Research And Development Expenditure
2024-03-26,2024-03-01 00:00:00,LONGHURST GROUP LTD,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Grant,Nn10 6bs,227782.03,581713,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government
2024-03-26,2024-03-01 00:00:00,UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE,International Subscriptions,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Grant,53113,70495.39,582287,Desnz - Uk Role In Eu Ets-international Subscriptions
2024-03-26,2024-03-01 00:00:00,SEVERN WYE ENERGY AGENCY LTD,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Grant,Gl2 8dn,64349.41,583730,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other
2024-03-26,2024-03-01 00:00:00,LIVERPOOL CITY REGION COMBINED AUTHORITY,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Vendor,L3 1bp,8622506.75,581705,Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government
2024-03-27,2024-03-01 00:00:00,OFFICE OF GAS AND ELECTRICITY MARKETS (OFGEM),Ca - Prepayments - Other,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Grant,Sw1p 3ge,12314000.0,584584,Desnz - Boiler Upgrade Scheme (Capital)-Ca - Prepayments - Other
2024-03-27,2024-03-01 00:00:00,MOTT MACDONALD LTD,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,Cr0 2ee,34572.37,584304,Desnz - Delivery Of Beis Energy Innovation-r & D Outsourced Other
2024-03-27,2024-03-01 00:00:00,RICARDO-AEA LTD,Economic Consultancy & Research,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Vendor,Ox11 0qr,46419.6,574048,Desnz - Carbon Hydrogen And Industry Analysis-economic Consultancy & Research
2024-03-27,2024-03-01 00:00:00,CABINET OFFICE,Talent And Beis Exclusive Training,Desnz - Corporate Services - Desnz - Human Resources,Wga Only,Fy5 3ta,69500.0,584669,Desnz - Desnz Corporate Services Admin-talent And Beis Exclusive Training
2024-03-27,2024-03-01 00:00:00,KANTAR PUBLIC UK LTD T/A VERIAN,Marketing And Media,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Vendor,Se1 2qy,31440.0,584397,Desnz - Energy Saving Campaign-marketing And Media
2024-03-27,2024-03-01 00:00:00,FMO - NETHERLANDS DEVELOPMENT FINANCE COMPANY,Capital Grants To Overseas Bodies,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Climate Finance & Strategy",Grant,2593 Hw,8400000.0,583569,Desnz - International Climate Finance (Icf)-Capital Grants To Overseas Bodies
2024-03-27,2024-03-01 00:00:00,TEESDALE ENVIRONMENTAL CONSULTING LTD,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,Dl12 0qr,35907.0,584338,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other
2024-03-27,2024-03-01 00:00:00,NATIONAL NUCLEAR LABORATORY LTD,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,Wa3 6ae,1661702.18,583701,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish
2024-03-27,2024-03-01 00:00:00,NATIONAL NUCLEAR LABORATORY LTD,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,Wa3 6ae,847917.64,583797,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish
2024-03-27,2024-03-01 00:00:00,ENVIRONMENT AGENCY,Outsourced Programme Management,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Wga Only,Np10 8fz,265712.0,584340,Desnz - Energy Savings Opportunity Scheme-outsourced Programme Management
2024-03-27,2024-03-01 00:00:00,SEVERN WYE ENERGY AGENCY LTD,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Grant,Gl2 8dn,1290860.14,583802,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other
2024-03-27,2024-03-01 00:00:00,CONSUMER SCOTLAND,Outsourced Programme Management,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Grant,Eh8 7au,28000.0,584305,Desnz - Heat Networks Policy Support And Delivery-outsourced Programme Management
2024-03-27,2024-03-01 00:00:00,EDF ENERGY R AND D UK CENTRE LTD,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,W1t 4ez,154308.41,584188,Desnz - Net Zero Innovation - Smart-r & D Outsourced Other
2024-03-27,2024-03-01 00:00:00,PHOENIX SOFTWARE LTD,Other It Consultancy,Desnz - Energy Markets & Supply - Desnz - Analysis Directorate,Vendor,Yo42 1ns,146898.47,571990,Desnz - Devolved Admin-other It Consultancy
2024-03-27,2024-03-01 00:00:00,TECHNOPOLIS LTD,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,Bn1 1ee,34950.0,584158,Desnz - International Science And Innovation-r & D Outsourced Other
2024-03-27,2024-03-01 00:00:00,CONSOLIDATED FUND ACCOUNT 6622,Cl - Cash Cfers Paid Over To Hmt,Desnz - Central - Desnz - Beis Other,Wga Only,Rh10 1uh,29015188.0,584952,Desnz - Non Nuclear Miscellaneous Receipts-cl - Cash Cfers Paid Over To Hmt
2024-03-27,2024-03-01 00:00:00,DEPARTMENT FOR BUSINESS AND TRADE (DBT),Economic Consultancy & Research,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Vendor,Sw1a 2dy,100000.0,584731,Desnz - Carbon Hydrogen And Industry Analysis-economic Consultancy & Research
2024-03-27,2024-03-01 00:00:00,MATRIX MOULDING SYSTEMS LTD,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Grant,Ng23 5ff,39566.08,584201,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish
2024-03-27,2024-03-01 00:00:00,ROCKEFELLER PHILANTHROPY ADVISORS INC,International Subscriptions,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Climate Finance & Strategy",Vendor,10008-7082,40000.0,582849,Desnz - Inz - Care Fund-international Subscriptions
2024-03-27,2024-03-01 00:00:00,CONSOLIDATED FUND ACCOUNT 6622,Cl - Cash Cfers Paid Over To Hmt,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Power And Decommissioning",Wga Only,Rh10 1uh,1163081.58,584952,Desnz - Non-dom Alternative Fuel - Ame-cl - Cash Cfers Paid Over To Hmt
2024-03-27,2024-03-01 00:00:00,CABINET OFFICE,Talent And Beis Exclusive Training,Desnz - Corporate Services - Desnz - Human Resources,Wga Only,Fy5 3ta,168750.0,584669,Desnz - Desnz Corporate Services Admin-talent And Beis Exclusive Training
2024-03-27,2024-03-01 00:00:00,COMPACT SYNGAS SOLUTIONS LTD,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,Ch5 2qe,315008.91,584244,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other
2024-03-27,2024-03-01 00:00:00,PHOENIX SOFTWARE LTD,Other It Consultancy,Desnz - Energy Markets & Supply - Desnz - Analysis Directorate,Vendor,Yo42 1ns,130218.38,582818,Desnz - Devolved Admin-other It Consultancy
2024-03-27,2024-03-01 00:00:00,SERCO LTD,Technical Advice / Services & Support,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Vendor,Nn17 9gy,534160.68,584388,Desnz - Dwp Warm Home Discount Delivery-technical Advice / Services & Support
2024-03-27,2024-03-01 00:00:00,OVE ARUP AND PARTNERS LTD,Consultancy Expenditure,Desnz - Energy Infrastructure - Desnz - Hydrogen And Industrial Carbon Capture,Vendor,Ne1 3pl,145992.31,584326,Desnz - Hydrogen And Industrial Energy Business Models-consultancy Expenditure
2024-03-27,2024-03-01 00:00:00,WESTMINSTER CITY COUNCIL,Current Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Wga Only,Sw1e 6qp,90000.0,584502,Desnz - Hndu Pipeline And Related Expenditure-current Grants To Local Government
2024-03-27,2024-03-01 00:00:00,NATIONAL NUCLEAR LABORATORY LTD,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,Wa3 6ae,913367.06,583773,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish
2024-03-27,2024-03-01 00:00:00,AVANADE UK LTD,Other It Consultancy,Ics - Integrated Corporate Services - Ics - Digital,Vendor,Ec3m 3bd,254046.0,584362,Ics - Transition - Dsit-other It Consultancy
2024-03-27,2024-03-01 00:00:00,ERNST AND YOUNG LLP,Technical Advice / Services & Support,Ics - Integrated Corporate Services - Ics - Digital,Vendor,Se1 2af,74500.0,580950,Ics - Admin-technical Advice / Services & Support
2024-03-27,2024-03-01 00:00:00,OMNICOM MEDIA GROUP UK LTD T/A MANNING GOTTLIEB OMD,Marketing And Media,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Vendor,Se1 0sw,74195.4,584261,Desnz - Energy Saving Campaign-marketing And Media
2024-03-27,2024-03-01 00:00:00,ENVIRONMENT AGENCY,Current Grants To Private Sector - Npish,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Wga Only,Np10 8fz,489398.0,584303,Desnz - Uk Role In Eu Ets-current Grants To Private Sector - Npish
2024-03-27,2024-03-01 00:00:00,PA CONSULTING SERVICES LTD,Business Management Advice,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Vendor,Sw1e 5dn,91176.0,584593,Desnz - Uk Role In Eu Ets-business Management Advice
2024-03-27,2024-03-01 00:00:00,NATIONAL NUCLEAR LABORATORY LTD,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,Wa3 6ae,1375642.78,583766,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish
2024-03-27,2024-03-01 00:00:00,PA CONSULTING SERVICES LTD,Business Management Advice,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Vendor,Sw1e 5dn,75470.4,584612,Desnz - Uk Role In Eu Ets-business Management Advice
2024-03-27,2024-03-01 00:00:00,OMNICOM MEDIA GROUP UK LTD T/A MANNING GOTTLIEB OMD,Marketing And Media,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Vendor,Se1 0sw,68104.17,584264,Desnz - Energy Saving Campaign-marketing And Media
2024-03-27,2024-03-01 00:00:00,OVE ARUP AND PARTNERS LTD,Consultancy Expenditure,Desnz - Energy Infrastructure - Desnz - Hydrogen And Industrial Carbon Capture,Vendor,Ne1 3pl,104749.19,584324,Desnz - Hydrogen And Industrial Energy Business Models-consultancy Expenditure
2024-03-27,2024-03-01 00:00:00,AVANADE UK LTD,Other It Consultancy,Ics - Integrated Corporate Services - Ics - Digital,Vendor,Ec3m 3bd,77724.0,584362,Ics - Transition - Dsit-other It Consultancy
2024-03-27,2024-03-01 00:00:00,RAMBOLL UK LTD,Research And Development Expenditure,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Vendor,Se1 8nw,96000.0,584176,Desnz - Heat Networks Zoning-research And Development Expenditure
