Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Invoice Number,Purchase Order Number,Cost Centre Name,NAC Code,NAC Name,Programme Code,Programme Name,Cost Centre Code,Directorate
06/09/2024,Ppm (Project & Programme Management),Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Ricardo-aea Ltd,617115,"£44,532.72",Desnz - Business Energy Efficiency Delivery-ppm (Project & Programme Management),Ox11 0qr,Vendor,6207720,427000001011,Desnz - Idet Portfolio & Engagement Office,52113006,Ppm (Project & Programme Management),700246,Desnz - Business Energy Efficiency Delivery,700689,Net Zero Buildings and Industry (NZBI)
17/09/2024,Ppm (Project & Programme Management),Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Ricardo-aea Ltd,621691,"£27,069.18",Desnz - Business Energy Efficiency Delivery-ppm (Project & Programme Management),Ox11 0qr,Vendor,6208141,427000001011,Desnz - Idet Portfolio & Engagement Office,52113006,Ppm (Project & Programme Management),700246,Desnz - Business Energy Efficiency Delivery,700689,Net Zero Buildings and Industry (NZBI)
02/09/2024,Technical Advice / Services & Support,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Turner And Townsend Consulting Ltd,617822,"£342,107.82",Desnz - Social Housing Decarbonisation Fund (Shdf)-Technical Advice / Services & Support,Ls18 4gh,Vendor,Priv00007501,427000003775,Desnz - Ee&L - Social Housing Decarbonisation Fund,52112018,Technical Advice / Services & Support,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
06/09/2024,Outsourced Programme Management,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Iff Research Ltd,619559,"£51,619.74",Desnz - Social Housing Decarbonisation Fund (Shdf)-Outsourced Programme Management,Ec3r 6hd,Vendor,18792,427000001398,Desnz - Ee&L - Social Housing Decarbonisation Fund,52114021,Outsourced Programme Management,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Ashford Borough Council,621010,"£335,533.61",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Tn23 1pl,Grant,Shdf2_943,427000000570,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Basildon Borough Council,621011,"£858,032.36",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ss14 1dl,Grant,Shdf2_944,427000000928,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Blackpool Council,621012,"£47,500.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Fy1 3ah,Grant,Shdf2_945,427000000552,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Cambridge City Council,621013,"£124,283.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Cb2 3qj,Grant,Shdf2_946,427000000576,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Colchester City Council,621014,"£64,312.88",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Co3 3wg,Vendor,Shdf2_947,427000000571,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Coventry City Council,621015,"£1,278,637.78",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Cv1 5rr,Wga Only,Shdf2_948,427000000733,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Crawley Borough Council,621016,"£270,825.15",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Rh10 1uz,Vendor,Shdf2_949,427000000544,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Cross Keys Homes Ltd,621017,"£72,857.14",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Pe2 7bz,Grant,Shdf2_950,427000003175,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Exeter City Council,621018,"£265,850.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ex1 1jn,Grant,Shdf2_952,427000000538,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Fairhive Homes Ltd,621019,"£262,438.83",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Hp20 2nj,Grant,Shdf2_953,427000000681,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Flagship Housing Group,621020,"£231,698.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Nr1 1pd,Grant,Shdf2_954,427000000537,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Golding Homes Ltd,621021,"£213,000.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Me14 1st,Grant,Shdf2_955,427000000548,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Greater Manchester Combined Authority,621022,"£5,615,405.34",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,M60 2la,Wga Only,Shdf2_956,427000000744,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Greensquareaccord Ltd,621023,"£866,037.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,B70 6qg,Grant,Shdf2_957,427000000515,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Haig Housing Trust,621024,"£199,667.26",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Sm4 5ns,Grant,Shdf2_958,427000000551,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Hinckley And Bosworth Borough Council,621025,"£103,791.67",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Le10 0fr,Grant,Shdf2_959,427000000585,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Kingston Upon Hull City Council,621026,"£312,000.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Hu1 2ab,Wga Only,Shdf2_960,427000003638,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,London Borough Of Islington,621027,"£118,412.75",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,N7 7ep,Grant,Shdf2_961,427000000541,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,London And Quadrant Housing Trust,621028,"£2,204,308.24",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,E15 4ph,Grant,Shdf2_962,427000000751,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
19/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Lincolnshire Housing Partnership Ltd,621029,"£324,777.88",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Dn31 2lj,Grant,Shdf2_963,427000000509,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,London Borough Of Barnet,621030,"£250,000.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Nw9 4ew,Grant,Shdf2_964,427000000507,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Longhurst Group Ltd,621031,"£315,512.04",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Nn10 6bs,Grant,Shdf2_965,427000000508,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Milton Keynes Council,621032,"£2,095,484.08",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Mk9 3ej,Grant,Shdf2_966,427000000743,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Sovereign Network Homes Ltd,621033,"£700,000.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ha9 0hp,Vendor,Shdf2_967,427000000525,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Newcastle City Council,621034,"£1,114,467.48",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ne3 9bh,Wga Only,Shdf2_968,427000000562,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,North East Derbyshire District Council,621035,"£458,672.69",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,S42 6ng,Grant,Shdf2_969,427000000573,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Nottingham City Council,621036,"£500,000.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ng2 3ng,Wga Only,Shdf2_970,427000000730,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Nsah (Alliance Homes) Ltd,621037,"£222,000.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Bs20 7aw,Grant,Shdf2_971,427000000540,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Peabody Trust,621038,"£1,299,006.41",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Se1 7jb,Grant,Shdf2_972,427000000729,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Cheshire Peaks And Plains Housing Trust Ltd,621039,"£300,333.23",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Sk11 6qj,Grant,Shdf2_973,427000000748,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Raven Housing Trust Ltd,621040,"£50,000.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Rh1 1ss,Grant,Shdf2_974,427000000714,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Red Kite Community Housing Ltd,621041,"£330,843.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Hp11 1ju,Grant,Shdf2_975,427000000680,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Royal Borough Of Kensington & Chelsea,621042,"£600,000.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,W8 7nx,Vendor,Shdf2_976,427000004642,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Royal Borough Of Greenwich,621043,"£317,822.99",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Se18 6hq,Grant,Shdf2_977,427000000512,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Rugby Borough Council,621044,"£133,075.61",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Cv21 2rr,Grant,Shdf2_978,427000000513,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Sanctuary Housing Association,621045,"£3,424,695.76",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Wr1 3zq,Grant,Shdf2_979,427000000738,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Settle Group,621046,"£1,334,495.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Sg6 1ha,Grant,Shdf2_980,427000000516,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Soha Housing Ltd,621047,"£85,810.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ox11 7nn,Grant,Shdf2_981,427000000554,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,South Cambridgeshire District Council,621048,"£79,333.33",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Cb23 6ea,Wga Only,Shdf2_982,427000002978,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,South Holland District Council,621049,"£173,200.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Pe11 2xq,Grant,Shdf2_983,427000000558,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Southern Housing Group Ltd,621050,"£40,409.67",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Me9 8gu,Grant,Shdf2_984,427000000518,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Southern Housing Group Ltd,621051,"£49,650.48",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Me9 8gu,Grant,Shdf2_985,427000000517,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Stevenage Borough Council,621052,"£192,536.73",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Sg1 1hn,Grant,Shdf2_986,427000000532,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Swindon Borough Council,621053,"£167,767.96",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Sn2 2ey,Wga Only,Shdf2_987,427000000920,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Tees Valley Combined Authority,621054,"£1,586,727.57",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Dl2 1lu,Grant,Shdf2_988,427000000739,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Thanet District Council,621055,"£242,536.25",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ct9 1xz,Grant,Shdf2_989,427000000528,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Folkestone And Hythe District Council,621056,"£25,000.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Ct20 2qy,Grant,Shdf2_990,427000000474,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,The Riverside Group Ltd,621057,"£1,261,079.62",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,L24 8rf,Grant,Shdf2_991,427000000547,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Together Housing Association,621058,"£473,000.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Hx1 2eb,Grant,Shdf2_992,427000000550,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Welwyn Hatfield Borough Council,621059,"£445,209.00",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Al8 6ae,Grant,Shdf2_993,427000000584,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,West Of England Combined Authority,621061,"£6,881,985.02",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Bs1 6qh,Grant,Shdf2_995,427000000737,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
17/09/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,West Of England Combined Authority,621062,"£385,733.83",Desnz - Social Housing Decarbonisation Fund (Shdf)-Capital Grants To Local Government,Bs1 6al,Grant,Shdf2_996,427000000529,Desnz - Ee&L - Social Housing Decarbonisation Fund,54112001,Capital Grants To Local Government,700225,Desnz - Social Housing Decarbonisation Fund (Shdf),701015,Net Zero Buildings and Industry (NZBI)
