Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
06/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Lind Ltd,568875,32139.03,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish,Ky13 0qg,Vendor
21/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Concrete4change Ltd,569734,30899.74,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish,Ng7 2qj,Grant
14/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Aerofoil Energy Ltd,570750,51596.37,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish,Sk10 5jb,Vendor
14/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Stretchline Uk Ltd,570755,218586.52,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish,Wc2b 4as,Grant
16/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Mott Macdonald Ltd,571326,43666.5,Desnz - Delivery Of Beis Energy Innovation-r & D Outsourced Other,Bn1 4fy,Vendor
16/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Mott Macdonald Ltd,571330,29484.49,Desnz - Delivery Of Beis Energy Innovation-r & D Outsourced Other,Bn1 4fy,Vendor
16/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Mott Macdonald Ltd,571331,25438.38,Desnz - Delivery Of Beis Energy Innovation-r & D Outsourced Other,Bn1 4fy,Vendor
16/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Aecom Ltd,571345,33615.43,Desnz - Delivery Of Beis Energy Innovation-r & D Outsourced Other,Wc1v 6qs,Vendor
16/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Power Enable Solutions Ltd,571374,64804.25,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish,Eh2 1df,Grant
16/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Imperial College London,571375,26924.54,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish,Sw7 2az,Wga Only
16/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Senergy Innovations Ltd,571464,48675.25,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish,Bt8 8bd,Grant
20/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Inductive Power Projection Ltd,571991,43363.37,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish,Pl26 6dg,Vendor
20/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Advanced Infrastructure Technology Ltd,572021,83028,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish,Cb1 7rt,Vendor
20/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Oxford Nanosystems Ltd,572024,40960.14,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish,Ox14 1dy,Grant
21/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Microlink Devices Uk Ltd,572423,44214.18,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish,Sa12 7ax,Grant
23/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Actuation Lab Ltd,573028,43681.04,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish,Bs3 4ag,Vendor
23/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Build Solar Ltd,573071,26932,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish,Tr1 2dp,Grant
27/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Energy Systems Catapult Ltd,574028,119996.8,Desnz - Energy Research And Studies-r & D Outsourced Other,B4 6bs,Vendor
