Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
05/07/2024,Ca - Beis Coal Health Gbs Account,Desnz - Energy Infrastructure - Desnz - Energy Development,Beis Coal Health,607468,"£250,000.00",Desnz - Liabilities To Ex-british Coal Employees And Other Liabilities Transferred From British Coal-ca - Beis Coal Health Gbs Account,Sw1h 0et,Vendor
17/07/2024,Ca - Beis Concessionary Fuel Gbs Account,Desnz - Energy Infrastructure - Desnz - Energy Development,Beis Concessionary Fuel Gbs Account,609898,"£432,966.91",Desnz - Liabilities To Ex-british Coal Employees And Other Liabilities Transferred From British Coal-ca - Beis Concessionary Fuel Gbs Account,Sw1h 0et,Vendor
22/07/2024,Utilisation Of Provisions - Purchase Of Goods & Services - Other,Desnz - Energy Infrastructure - Desnz - Energy Development,Iron Mountain (Uk) Plc,610393,"£201,860.19",Desnz - Coal Health Administration Costs Including Legal Defence And Records Management-utilisation Of Provisions - Purchase Of Goods & Services - Other,Eh54 7df,Vendor
24/07/2024,Utilisation Of Provisions - Purchase Of Goods & Services - Other,Desnz - Energy Infrastructure - Desnz - Energy Development,Capita Pension Solutions Ltd,611058,"£107,957.15","Desnz - Concessionary Fuel Scheme Costs (Includes Supply, Distribution & Contract Management And Cil Payments)-Utilisation Of Provisions - Purchase Of Goods & Services - Other",Dl1 9hn,Vendor
25/07/2024,Utilisation Of Provisions - Purchase Of Goods & Services - Other,Desnz - Energy Infrastructure - Desnz - Energy Development,Cms Cameron Mckenna Nabarro Olswang Llp,611340,"£342,190.60",Desnz - Coal Health Administration Costs Including Legal Defence And Records Management-utilisation Of Provisions - Purchase Of Goods & Services - Other,S1 4hs,Vendor
30/07/2024,Utilisation Of Provisions - Purchase Of Goods & Services - Other,Desnz - Energy Infrastructure - Desnz - Energy Development,Department For Business And Trade (Dbt),611863,"£72,955.33",Desnz - British Shipbuilders Provision-utilisation Of Provisions - Purchase Of Goods & Services - Other,Sw1a 2dy,Vendor
10/07/2024,Administration Of Grants And Awards,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Office Of Gas And Electricity Markets (Ofgem),608180,"£30,393.00",Desnz - Rhi Programme Expenditure-administration Of Grants And Awards,E14 4pu,Grant
10/07/2024,Administration Of Grants And Awards,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Office Of Gas And Electricity Markets (Ofgem),608180,"£72,551.00",Desnz - Dwp Warm Home Discount Delivery-administration Of Grants And Awards,E14 4pu,Grant
10/07/2024,Administration Of Grants And Awards,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Office Of Gas And Electricity Markets (Ofgem),608180,"£252,990.00",Desnz - Re:Fit Programme - Local Partnership-administration Of Grants And Awards,E14 4pu,Grant
10/07/2024,Administration Of Grants And Awards,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Office Of Gas And Electricity Markets (Ofgem),608180,"£470,818.00",Desnz - Eco Brokerage-administration Of Grants And Awards,E14 4pu,Grant
10/07/2024,Administration Of Grants And Awards,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Office Of Gas And Electricity Markets (Ofgem),608180,"£1,046,168.00",Desnz - Rhi Non-domestic Costs-administration Of Grants And Awards,E14 4pu,Grant
24/07/2024,Administration Of Grants And Awards,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Office Of Gas And Electricity Markets (Ofgem),610632,"£64,144.56",Desnz - Dwp Warm Home Discount Delivery-administration Of Grants And Awards,E14 4pu,Grant
24/07/2024,Administration Of Grants And Awards,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Office Of Gas And Electricity Markets (Ofgem),610632,"£362,990.06",Desnz - Re:Fit Programme - Local Partnership-administration Of Grants And Awards,E14 4pu,Grant
24/07/2024,Administration Of Grants And Awards,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Office Of Gas And Electricity Markets (Ofgem),610632,"£495,352.43",Desnz - Rhi Domestic Costs-administration Of Grants And Awards,E14 4pu,Grant
24/07/2024,Administration Of Grants And Awards,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Office Of Gas And Electricity Markets (Ofgem),610632,"£654,939.60",Desnz - Eco Brokerage-administration Of Grants And Awards,E14 4pu,Grant
24/07/2024,Administration Of Grants And Awards,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Office Of Gas And Electricity Markets (Ofgem),610632,"£957,790.70",Desnz - Rhi Non-domestic Costs-administration Of Grants And Awards,E14 4pu,Grant
24/07/2024,Administration Of Grants And Awards,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Office Of Gas And Electricity Markets (Ofgem),610632,"£1,065,426.84",Desnz - Gb Insulation Scheme-administration Of Grants And Awards,E14 4pu,Grant
08/07/2024,Technical Advice / Services & Support,Desnz - Energy Infrastructure - Desnz - Carbon Capture Usage And Storage,Afry Management Consulting Ltd,607735,"£35,000.00",Desnz - Ccs Projects-technical Advice / Services & Support,Ox1 1jd,Vendor
10/07/2024,Subsidies To The Private Sector - Companies,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Atomising Systems Ltd,608532,"£87,921.00",Desnz - Industrial Energy Transformation Scheme-subsidies To The Private Sector - Companies,S9 5nf,Grant
22/07/2024,Administration Of Grants And Awards,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Ricardo-aea Ltd,610402,"£73,697.51",Desnz - Industrial Energy Transformation Scheme-administration Of Grants And Awards,Ox11 0qr,Vendor
17/07/2024,Business Rates,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Ricardo-aea Ltd,605576,"£95,439.50",Desnz - Greenhouse Gas Emissions Inventory-business Rates,Ox11 0qr,Vendor
03/07/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Ricardo-aea Ltd,605687,"£33,520.45",Desnz - Climate Science Capability-r & D Outsourced Other,Ox11 0qr,Vendor
15/07/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Ricardo-aea Ltd,609391,"£33,520.45",Desnz - Climate Science Capability-r & D Outsourced Other,Ox11 0qr,Vendor
17/07/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Mott Macdonald Ltd,609835,"£35,093.68",Desnz - Greenhouse Gas Emissions Inventory-r & D Outsourced Other,Cr0 2ee,Vendor
17/07/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Uk Centre For Ecology And Hydrology,610208,"£25,294.00",Desnz - Climate Science Capability-r & D Outsourced Other,Ox10 8bb,Vendor
23/07/2024,Business Rates,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Ricardo-aea Ltd,610997,"£95,439.50",Desnz - Greenhouse Gas Emissions Inventory-business Rates,Ox11 0qr,Vendor
24/07/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Mott Macdonald Ltd,611015,"£40,710.67",Desnz - Greenhouse Gas Emissions Inventory-r & D Outsourced Other,Cr0 2ee,Vendor
15/07/2024,Uksbs - Service Costs,Ics - Integrated Corporate Services - Ics - Digital,Uk Shared Business Services Ltd,609501,"£467,289.00",Ics - Desnz Cs Admin-uksbs - Service Costs,Np10 8qq,Vendor
15/07/2024,Uksbs - Service Costs,Ics - Integrated Corporate Services - Ics - Digital,Uk Shared Business Services Ltd,609502,"£340,463.00",Ics - Dsit Cs Admin-uksbs - Service Costs,Np10 8qq,Vendor
05/07/2024,International Subscriptions,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Trade & Energy",Energy Charter Secretariat,606121,"£376,461.33",Desnz - Energy Charter Treaty-international Subscriptions,B-1200,Vendor
15/07/2024,Current Grants To Overseas Bodies,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Trade & Energy",Carbon Trust Singapore Pte. Ltd,608848,"£30,000.00",Desnz - Inz - Care Fund-current Grants To Overseas Bodies,49514,Vendor
15/07/2024,International Subscriptions,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Trade & Energy",Oecd (Organisation For Economic Co-operation And Development),609008,"£1,318,186.22",Desnz - Iea Annual Budget Contribution-international Subscriptions,75775,Vendor
15/07/2024,International Subscriptions,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Trade & Energy",International Renewable Energy Agency (Irena Secrateriat),609121,"£771,662.00",Desnz - Irena Subscription-international Subscriptions,.,Vendor
11/07/2024,Capital Grants To Private Sector - Companies,"Desnz - Net Zero, Nuclear & International - Desnz - New Nuclear Strategy And Fusion Energy And Advanced Nuclear Technologies",Holtec Britain Ltd,608177,"£2,018,405.92",Desnz - Future Nuclear Enabling Fund-capital Grants To Private Sector - Companies,E1 6ra,Grant
11/07/2024,Utilisation Of Provisions - Early Departure,"Desnz - Net Zero, Nuclear & International - Desnz - New Nuclear Strategy And Fusion Energy And Advanced Nuclear Technologies",Uk Atomic Energy Authority (Ukaea),609000,"£290,000.00",Desnz - Ukaea Restructuring-utilisation Of Provisions - Early Departure,Ox14 3db,Wga Only
11/07/2024,Grant-in-aid To Arms Length Bodies,"Desnz - Net Zero, Nuclear & International - Desnz - New Nuclear Strategy And Fusion Energy And Advanced Nuclear Technologies",Uk Atomic Energy Authority (Ukaea),609000,"£27,267,145.00",Desnz - Ukaea Financing-grant-in-aid To Arms Length Bodies,Ox14 3db,Wga Only
03/07/2024,Other Professional Services,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Hm Courts And Tribunals Service (Hmcts),605340,"£79,074.60",Desnz - Prs Regulations-other Professional Services,Np20 9bb,Vendor
12/07/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Winning Moves Ltd,607466,"£78,579.00",Desnz - Net Zero Costs - Admin-capital Grants To Local Government,B3 2aa,Grant
11/07/2024,Current Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Nottingham City Council,607565,"£443,237.78",Desnz - Consumer Advice & Information (Cai)-Current Grants To Local Government,Ng2 3ng,Wga Only
