Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
18/03/2024,It Services,Ics - Integrated Corporate Services - Ics - Digital,Ibm United Kingdom Ltd,566008,69170.67,Ics - Admin-it Services,Po6 3ae,Vendor
18/03/2024,It Services,Ics - Integrated Corporate Services - Ics - Digital,Ibm United Kingdom Ltd,569822,34585.33,Ics - Admin-it Services,Po6 3ae,Vendor
18/03/2024,It Services,Ics - Integrated Corporate Services - Ics - Digital,Ibm United Kingdom Ltd,569825,82577.5,Ics - Admin-it Services,Po6 3ae,Vendor
18/03/2024,Technical Advice / Services & Support,Ics - Integrated Corporate Services - Ics - Digital,Ernst And Young Llp,574550,71750,Ics - Admin-technical Advice / Services & Support,Se1 2af,Vendor
14/03/2024,Other It Consultancy,Ics - Integrated Corporate Services - Ics - Digital,Tecknuovo Ltd,574852,129520,Ics - Admin-other It Consultancy,Wc2a 1qs,Vendor
18/03/2024,Technical Advice / Services & Support,Ics - Integrated Corporate Services - Ics - Digital,Ernst And Young Llp,575023,34000,Ics - Admin-technical Advice / Services & Support,Se1 2af,Vendor
18/03/2024,Technical Advice / Services & Support,Ics - Integrated Corporate Services - Ics - Digital,Ernst And Young Llp,575266,79500,Ics - Admin-technical Advice / Services & Support,Se1 2af,Vendor
13/03/2024,It Services,Ics - Integrated Corporate Services - Ics - Digital,Triad Group Plc,576863,127267.5,Ics - Admin-it Services,Mk7 8le,Vendor
18/03/2024,It Services,Ics - Integrated Corporate Services - Ics - Digital,Ibm United Kingdom Ltd,577375,80032.5,Ics - Admin-it Services,Po6 3ae,Vendor
18/03/2024,Technical Advice / Services & Support,Ics - Integrated Corporate Services - Ics - Digital,Ernst And Young Llp,577423,41875,Ics - Admin-technical Advice / Services & Support,Se1 2af,Vendor
12/03/2024,Technical Advice / Services & Support,Ics - Integrated Corporate Services - Ics - Digital,Bjss Ltd,577811,58525,Ics - Admin-technical Advice / Services & Support,Ls1 4hr,Vendor
18/03/2024,Technical Advice / Services & Support,Ics - Integrated Corporate Services - Ics - Digital,Ernst And Young Llp,579046,64625,Ics - Admin-technical Advice / Services & Support,Se1 2af,Vendor
18/03/2024,Technical Advice / Services & Support,Ics - Integrated Corporate Services - Ics - Digital,Ernst And Young Llp,579048,72625,Ics - Admin-technical Advice / Services & Support,Se1 2af,Vendor
18/03/2024,Technical Advice / Services & Support,Ics - Integrated Corporate Services - Ics - Digital,Ernst And Young Llp,579388,72325,Ics - Admin-technical Advice / Services & Support,Se1 2af,Vendor
18/03/2024,Other It Consultancy,Ics - Integrated Corporate Services - Ics - Digital,Tecknuovo Ltd,579399,103135,Ics - Admin-other It Consultancy,Wc2a 1qs,Vendor
18/03/2024,Technical Advice / Services & Support,Ics - Integrated Corporate Services - Ics - Digital,Ernst And Young Llp,579443,72625,Ics - Admin-technical Advice / Services & Support,Se1 2af,Vendor
18/03/2024,Technical Advice / Services & Support,Ics - Integrated Corporate Services - Ics - Digital,Ernst And Young Llp,579447,64625,Ics - Admin-technical Advice / Services & Support,Se1 2af,Vendor
26/03/2024,Other Professional Services,Ics - Integrated Corporate Services - Ics - Digital,Fujitsu Services Ltd,579870,68128,Ics - Admin-other Professional Services,Wa3 9bd,Vendor
19/03/2024,Other It Consultancy,Ics - Integrated Corporate Services - Ics - Digital,Tecknuovo Ltd,580279,110967.5,Ics - Admin-other It Consultancy,Wc2a 1qs,Vendor
27/03/2024,Technical Advice / Services & Support,Ics - Integrated Corporate Services - Ics - Digital,Ernst And Young Llp,580950,74500,Ics - Admin-technical Advice / Services & Support,Se1 2af,Vendor
26/03/2024,It Services,Ics - Integrated Corporate Services - Ics - Digital,Ibm United Kingdom Ltd,582071,54428,Ics - Admin-it Services,Po6 3ae,Vendor
26/03/2024,It Services,Ics - Integrated Corporate Services - Ics - Digital,Ibm United Kingdom Ltd,582072,69654.91,Ics - Admin-it Services,Po6 3ae,Vendor
26/03/2024,It Services,Ics - Integrated Corporate Services - Ics - Digital,Ibm United Kingdom Ltd,582100,54428,Ics - Admin-it Services,Po6 3ae,Vendor
26/03/2024,It Services,Ics - Integrated Corporate Services - Ics - Digital,Ibm United Kingdom Ltd,582298,154788.68,Ics - Admin-it Services,Po6 3ae,Vendor
26/03/2024,Other It Consultancy,Ics - Integrated Corporate Services - Ics - Digital,Tecknuovo Ltd,582839,38600,Ics - Admin-other It Consultancy,Se1 1ja,Vendor
28/03/2024,Subsidies To The Private Sector - Presented As Grant Spend,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Ukri-innovate Uk,584741,94232.15,Desnz - Net Zero Costs - Admin-subsidies To The Private Sector - Presented As Grant Spend,Sn2 1fl,Wga Only
07/03/2024,R & D Economic Consultancy And Research,Desnz - Energy Markets & Supply - Desnz - Energy Markets & Analysis,Baringa Partners Llp,576839,69698.88,"Desnz - Energy Sector Modelling, Research And Evaluation (Esnm R&D)-R & D Economic Consultancy And Research",Sw1e 6aj,Vendor
18/03/2024,R & D Economic Consultancy And Research,Desnz - Energy Markets & Supply - Desnz - Energy Markets & Analysis,Ove Arup And Partners Ltd,579869,36323.44,"Desnz - Energy Sector Modelling, Research And Evaluation (Esnm R&D)-R & D Economic Consultancy And Research",W1t 4bj,Vendor
19/03/2024,R & D Professional Subscriptions,Desnz - Energy Markets & Supply - Desnz - Energy Markets & Analysis,Afry Management Consulting Ltd,580190,65408,"Desnz - Energy Sector Modelling, Research And Evaluation (Esnm R&D)-R & D Professional Subscriptions",Ox1 1jd,Vendor
22/03/2024,R & D Economic Consultancy And Research,Desnz - Energy Markets & Supply - Desnz - Energy Markets & Analysis,Ove Arup And Partners Ltd,582302,44638,"Desnz - Energy Sector Modelling, Research And Evaluation (Esnm R&D)-R & D Economic Consultancy And Research",W1t 4bj,Vendor
01/03/2024,Ca - Other Receivables - Unclassified,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Office Of Gas And Electricity Markets (Ofgem),572385,11193079,Desnz - Rhi Domestic Ame Payments-ca - Other Receivables - Unclassified,Sw1p 3ge,Grant
05/03/2024,Ca - Other Receivables - Unclassified,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Office Of Gas And Electricity Markets (Ofgem),575525,60823258,Desnz - Rhi Non-domestic Ame Payments-ca - Other Receivables - Unclassified,Sw1p 3ge,Grant
21/03/2024,Hr Advice And Services,Ics - Integrated Corporate Services - Ics - Human Resources,Cabinet Office,581581,93796.99,Ics - Desnz Cs Admin-hr Advice And Services,Np10 8fz,Wga Only
01/03/2024,Other Professional Services,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Climate Finance & Strategy",Ricardo-aea Ltd,572718,73439.7,Desnz - International Climate Finance (Icf)-Other Professional Services,Ox11 0qr,Vendor
01/03/2024,Other Professional Services,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Climate Finance & Strategy",Ricardo-aea Ltd,574474,61199.75,Desnz - International Climate Finance (Icf)-Other Professional Services,Ox11 0qr,Vendor
