Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
13/06/2024,Subsidies To The Private Sector - Companies,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Energy Supplier,602301,14118971.84,Desnz - Energy Bills Relief Scheme Ame-subsidies To The Private Sector - Companies,,Grant
13/06/2024,Subsidies To The Private Sector - Companies,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Energy Supplier,602429,53816.56,Desnz - Energy Bills Relief Scheme Ame-subsidies To The Private Sector - Companies,,Grant
26/06/2024,Ppm Consultancy,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Moorhouse Consulting Ltd,604968,99492,Desnz - Energy Bill Discount Scheme Del-prog-ppm Consultancy,Ec2m 1qs,Vendor
26/06/2024,Subsidies To The Private Sector - Companies,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Energy Supplier,605089,85850.5,Desnz - Energy Bills Relief Scheme Ame-subsidies To The Private Sector - Companies,,Vendor
21/06/2024,Other It Consultancy,Ics - Integrated Corporate Services - Ics - Digital,Gartner Uk Ltd,604191,399000,Ics - Admin-other It Consultancy,Tw20 9ah,Vendor
10/06/2024,Payments To Government Legal Department,Desnz - Corporate Services - Desnz - Legal Services,Government Legal Department,601236,25208,Desnz - Litigation And Government Legal Department-payments To Government Legal Department,Wc2b 4ts,Vendor
26/06/2024,Outsourced Programme Management,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Environment Agency,585903,27880,Desnz - Business Energy Efficiency Delivery-outsourced Programme Management,Np10 8fz,Wga Only
26/06/2024,Outsourced Programme Management,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Environment Agency,585903,42325,Desnz - Business Energy Efficiency Delivery-outsourced Programme Management,Np10 8fz,Wga Only
18/06/2024,Contractor Expenditure,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Ricardo-aea Ltd,603520,90792.78,Desnz - Chp Quality Assurance Programme-contractor Expenditure,Ox11 0qr,Vendor
07/06/2024,It Software Licences And Software Maintenance,Ics - Integrated Corporate Services - Ics - Digital,Phoenix Software Ltd,579861,143661.11,Ics - Admin-it Software Licences And Software Maintenance,Yo42 1ns,Vendor
21/06/2024,Purchase Of Intangible Software,Ics - Integrated Corporate Services - Ics - Digital,Amazon Web Services Emea Sarl,597920,76129.93,Ics - Admin-purchase Of Intangible Software,Ec2a 2fa,Vendor
05/06/2024,It Software Licences And Software Maintenance,Ics - Integrated Corporate Services - Ics - Digital,Phoenix Software Ltd,600403,127492.32,Ics - Admin-it Software Licences And Software Maintenance,Yo42 1ns,Vendor
12/06/2024,Outsourced Technical Support,Ics - Integrated Corporate Services - Ics - Digital,Six Degrees Technology Group Ltd,600765,28483.08,Ics - Admin-outsourced Technical Support,E1w 1az,Vendor
12/06/2024,Outsourced Technical Support,Ics - Integrated Corporate Services - Ics - Digital,Six Degrees Technology Group Ltd,600766,28483.08,Ics - Admin-outsourced Technical Support,E1w 1az,Vendor
21/06/2024,Purchase Of Intangible Software,Ics - Integrated Corporate Services - Ics - Digital,Amazon Web Services Emea Sarl,601212,73748.1,Ics - Admin-purchase Of Intangible Software,Ec2a 2fa,Vendor
17/06/2024,Ict Outsourcing & Maintenance/Support,Desnz - Energy Infrastructure - Desnz - Offshore Petroleum Regulator For Environment And Decommissioning,Fivium Ltd,602772,29717.76,Desnz - Energy Portal Costs-ict Outsourcing & Maintenance/Support,W1f 7ld,Vendor
19/06/2024,Other Professional Services,Desnz - Energy Infrastructure - Desnz - Offshore Petroleum Regulator For Environment And Decommissioning,Jncc Support Co,603612,50380.8,Desnz - Offshore Environmental Regulation-other Professional Services,Pe1 1jy,Vendor
26/06/2024,Other Professional Services,Desnz - Energy Infrastructure - Desnz - Offshore Petroleum Regulator For Environment And Decommissioning,Genesis Oil & Gas Consultants Ltd,605279,59850.75,Desnz - Ogmep (Oil And Gas Marine Envmt Protection)-Other Professional Services,Ec4m 8ap,Vendor
11/06/2024,Other It Consultancy,Ics - Integrated Corporate Services - Ics - Digital,Visionist Ltd,600432,397647.6,Ics - Admin-other It Consultancy,Bh24 3fg,Vendor
11/06/2024,Other It Consultancy,Ics - Integrated Corporate Services - Ics - Digital,Visionist Ltd,600442,331491.6,Ics - Admin-other It Consultancy,Bh24 3fg,Vendor
11/06/2024,Other It Consultancy,Ics - Integrated Corporate Services - Ics - Digital,Visionist Ltd,600444,131323.2,Ics - Admin-other It Consultancy,Bh24 3fg,Vendor
13/06/2024,Purchase Of Intangible Software,Ics - Integrated Corporate Services - Ics - Digital,Bytes Software Services Ltd,600756,28202.76,Ics - Admin-purchase Of Intangible Software,Kt22 7tw,Vendor
10/06/2024,Other It Consultancy,Ics - Integrated Corporate Services - Ics - Digital,Visionist Ltd,601383,265924.5,Ics - Admin-other It Consultancy,Bh24 3fg,Vendor
26/06/2024,Outsourced Technical Support,Ics - Integrated Corporate Services - Ics - Digital,Visionist Ltd,601968,164149.47,Ics - Admin-outsourced Technical Support,Bh24 3fg,Vendor
28/06/2024,Other It Consultancy,Ics - Integrated Corporate Services - Ics - Digital,Visionist Ltd,605301,178064.96,Ics - Admin-other It Consultancy,Bh24 3fg,Vendor
28/06/2024,Outsourced Technical Support,Ics - Integrated Corporate Services - Ics - Digital,Visionist Ltd,605301,178064.96,Ics - Admin-outsourced Technical Support,Bh24 3fg,Vendor
07/06/2024,Grant-in-aid To Arms Length Bodies,"Desnz - Net Zero, Nuclear & International - Desnz - Net Zero Strategy",The Committee On Climate Change,601009,1253104,Desnz - Committee On Climate Change Grant-in-aid Payments-grant-in-aid To Arms Length Bodies,Yo1 7px,Grant
03/06/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Samsung Electronics Uk Ltd,599742,96666.1,Desnz - Net Zero Innovation - Smart-r & D Current Grants To Private Sector - Npish,Kt160ps,Vendor
03/06/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Sunamp Ltd,599936,676018.21,Desnz - Net Zero Innovation - Smart-r & D Outsourced Other,Eh33 1ry,Vendor
04/06/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",National Nuclear Laboratory Ltd,600016,130000,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish,Wa3 6ae,Vendor
04/06/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",National Nuclear Laboratory Ltd,600028,73182.75,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish,Wa3 6ae,Vendor
05/06/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Sense Wind Ltd,600448,559657.09,Desnz - Net Zero Innovation - Renewables-r & D Current Grants To Private Sector - Npish,Ip32 7gy,Grant
