Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
03/12/2024,Ca - Other Receivables - Unclassified,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Office Of Gas And Electricity Markets (Ofgem),639644,47866165,Desnz - Rhi Non-domestic Ame Payments-ca - Other Receivables - Unclassified,Sw1p 3ge,Grant
03/12/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Compactgtl Ltd,640319,332864.8,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish,W1w 7lt,Grant
03/12/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Space Solar Engineering,640322,254022.67,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish,Ox11 0qr,Grant
03/12/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Exergy3 Ltd,640324,146692.5,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other,Eh4 2hs,Vendor
03/12/2024,Minor Works,Ics - Integrated Corporate Services - Ics - Operations,Government Property Agency,640308,46586.27,Ics - Dsit Cs Admin-minor Works,B2 4bh,Vendor
03/12/2024,Minor Works,Ics - Integrated Corporate Services - Ics - Operations,Government Property Agency,640313,31043.27,Ics - Dsit Cs Admin-minor Works,B2 4bh,Vendor
03/12/2024,Energy Management Services,"Desnz - Net Zero, Nuclear & International - Desnz - Net Zero Strategy",Green Finance Institute Ltd,640044,135650,Desnz - Clean Growth-energy Management Services,Ec1a 2bn,Grant
03/12/2024,Ca - Beis Coal Health Gbs Account,Desnz - Energy Infrastructure - Desnz - Energy Development,Beis Coal Health,640309,200000,Desnz - Liabilities To Ex-british Coal Employees And Other Liabilities Transferred From British Coal-ca - Beis Coal Health Gbs Account,Sw1h 0et,Vendor
03/12/2024,Utilisation Of Provisions - Purchase Of Goods & Services - Other,Desnz - Energy Infrastructure - Desnz - Energy Development,Iron Mountain (Uk) Plc,640317,101446.04,Desnz - Coal Health Administration Costs Including Legal Defence And Records Management-utilisation Of Provisions - Purchase Of Goods & Services - Other,Se1 2au,Vendor
03/12/2024,Capital Grants To Public Corporations (Pcs),"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Power And Decommissioning",Office For Nuclear Regulation,638992,67786.87,Desnz - Haleu Phase 3b: Regulatory Support-capital Grants To Public Corporations (Pcs),Np10 8fz,Vendor
04/12/2024,Faststream - Full Cost,Desnz - Corporate Services - Desnz - Human Resources,Cabinet Office,640432,38880,Desnz - Devolved Admin-faststream - Full Cost,Np10 8fz,Wga Only
04/12/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Frazer-nash Consultancy Ltd,623265,71486.53,Desnz - Energy Research And Studies-r & D Outsourced Other,Rh4 1hj,Vendor
04/12/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Qbots Energy Ltd,640355,29862,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish,M15 6se,Grant
04/12/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Synaptec Ltd,640356,89115.97,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish,G1 1xw,Grant
04/12/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Energy Systems Catapult Ltd,640421,239994,Desnz - Energy Research And Studies-r & D Outsourced Other,B4 6bs,Vendor
04/12/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Remediiate (Uk) Ltd,640350,158878.54,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Kt12 3hs,Grant
04/12/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Remediiate (Uk) Ltd,640352,144428.31,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Kt12 3hs,Grant
04/12/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Imperial College London,640387,81376.18,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Sw7 2az,Wga Only
04/12/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Imperial College London,640388,78602.8,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Sw7 2az,Wga Only
04/12/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Exergy3 Ltd,640410,161317.86,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other,Eh4 2hs,Vendor
04/12/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Exergy3 Ltd,640411,67142.38,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other,Eh4 2hs,Vendor
04/12/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Cage Technologies Ltd,640418,181008.09,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other,La2 0dz,Grant
04/12/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",British Ceramic Confederation Ltd,640423,231772.05,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other,St1 5be,Vendor
04/12/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Kellogg Company Of Great Britain Ltd,640426,269000.4,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other,M50 2hf,Grant
04/12/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Rickerby Estates Ltd,640437,157993,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,Ca2 4au,Vendor
04/12/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",University College London,640453,30648.79,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Wc1e 6bt,Vendor
04/12/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Luxus Ltd,640700,25455.52,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Ln11 0lq,Grant
04/12/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Luxus Ltd,640701,107725.32,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Ln11 0lq,Grant
04/12/2024,Legal Services And Advice Agency,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Projects Delivery Directorate",Linklaters Llp,640408,692353.05,Desnz - New Nuclear Sizewell C (Net Zero)-Legal Services And Advice Agency,Ec2y 8hq,Vendor
04/12/2024,R & D Economic Consultancy And Research,Desnz - Energy Markets & Supply - Desnz - Energy Markets & Analysis,Basis Social Ltd,640392,47681.54,"Desnz - Energy Sector Modelling, Research And Evaluation (Esnm R&D)-R & D Economic Consultancy And Research",W1t 1uh,Vendor
04/12/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Rj Barwick Ltd,640347,33607.07,Desnz - Net Zero Innovation - Built-r & D Current Grants To Private Sector - Npish,Tn23 1hu,Grant
05/12/2024,Technical Advice / Services & Support,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Turner And Townsend Consulting Ltd,638938,524289.3,Desnz - Social Housing Decarbonisation Fund (Shdf)-Technical Advice / Services & Support,Ls18 4gh,Vendor
05/12/2024,Outsourced Programme Management,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Winning Moves Ltd,641154,90865,Desnz - Psd Design & Delivery-outsourced Programme Management,B3 2aa,Grant
05/12/2024,Audit Services,Desnz - Energy Markets & Supply - Desnz - Energy Affordability & Consumers,Kpmg Llp,640758,497331.02,Desnz - Energy Price Guarantee - Domestic-audit Services,Wd17 1de,Vendor
05/12/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",South Bank University Enterprises Ltd,640788,80648.62,Desnz - Energy Research And Studies-r & D Outsourced Other,Se1 0aa,Vendor
05/12/2024,Other Technical Professional Services,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Smart Metering Implementation Programme,Yellow Wood Energy Consulting Ltd,641120,25344,Desnz - Roll-out Of Smart Meters-other Technical Professional Services,Cv8 1bt,Vendor
05/12/2024,Technical Advice / Services & Support,Desnz - Energy Markets & Supply - Desnz - Energy Markets & Analysis,Cepa Llp,641006,45000,Desnz - Net Zero Costs - Admin-technical Advice / Services & Support,Wc2a 3lj,Vendor
05/12/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Concrete4change Ltd,640710,129921.63,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Ng7 2qj,Grant
05/12/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Excelpoint Ltd,640762,28800,Desnz - Net Zero Innovation Technical Support-r & D Outsourced Other,Dl5 6ah,Vendor
05/12/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Severn Wye Energy Agency Ltd,640772,126132.37,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,Gl2 5rg,Grant
05/12/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Severn Wye Energy Agency Ltd,640774,172602,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,Gl2 5rg,Grant
05/12/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Kew Projects Ltd,640783,129423,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,B3 3hn,Vendor
05/12/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Kew Projects Ltd,640793,65597.41,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,B3 3hn,Vendor
05/12/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",University Of Exeter,640796,321329.61,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,Ex4 4rj,Grant
05/12/2024,Technical Advice / Services & Support,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Turner And Townsend Consulting Ltd,638938,324466.76,Desnz - Hug 2-technical Advice / Services & Support,Ls18 4gh,Vendor
05/12/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Portsmouth City Council,640452,1496278.91,Desnz - Hug 2-capital Grants To Local Government,Po1 2al,Wga Only
05/12/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,North Yorkshire County Council,640455,917543,Desnz - Hug 2-capital Grants To Local Government,Dl7 8ah,Wga Only
05/12/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Nottingham City Council,640456,8838236.56,Desnz - Hug 2-capital Grants To Local Government,Ng2 3ah,Wga Only
05/12/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Plymouth City Council,640457,192607.32,Desnz - Hug 2-capital Grants To Local Government,Pl1 3bj,Wga Only
05/12/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Portsmouth City Council,640458,457513,Desnz - Hug 2-capital Grants To Local Government,Po1 2al,Wga Only
05/12/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Rochdale Borough Council,640459,110434,Desnz - Hug 2-capital Grants To Local Government,Ol16 1xu,Grant
05/12/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Sedgemoor District Council,640460,263071,Desnz - Hug 2-capital Grants To Local Government,Ta4 3ar,Grant
05/12/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Sheffield City Council,640461,45651,Desnz - Hug 2-capital Grants To Local Government,S1 2hh,Wga Only
05/12/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Shropshire Council,640462,652086,Desnz - Hug 2-capital Grants To Local Government,Sy2 6nd,Wga Only
05/12/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Stroud District Council,640463,415889,Desnz - Hug 2-capital Grants To Local Government,Gl5 4ub,Vendor
05/12/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Suffolk County Council,640464,216720,Desnz - Hug 2-capital Grants To Local Government,Ip1 2bx,Wga Only
05/12/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Surrey County Council,640465,243505,Desnz - Hug 2-capital Grants To Local Government,Rh1 1yb,Vendor
05/12/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,City Of Wakefield Metropolitan District Council,640466,117836,Desnz - Hug 2-capital Grants To Local Government,Wf1 2eb,Wga Only
05/12/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Walsall Metropolitan Borough Council,640467,322477,Desnz - Hug 2-capital Grants To Local Government,Ws1 1tp,Grant
05/12/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Wealden District Council,640468,53242,Desnz - Hug 2-capital Grants To Local Government,Bn27 2ax,Vendor
05/12/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Cambridge City Council,640929,938730,Desnz - Hug 2-capital Grants To Local Government,Cb2 3qj,Grant
05/12/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Cheshire East Borough Council,640930,48879,Desnz - Hug 2-capital Grants To Local Government,Cw11 1hz,Wga Only
05/12/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,City Of York Council,640931,189562,Desnz - Hug 2-capital Grants To Local Government,Yo1 6ga,Grant
05/12/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Cornwall And Isles Of Scilly Lep,640932,680347,Desnz - Hug 2-capital Grants To Local Government,Tr1 3ay,Grant
05/12/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Dartford Borough Council,640933,51857,Desnz - Hug 2-capital Grants To Local Government,Da1 1dr,Grant
05/12/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Dorset Council,640934,58913.5,Desnz - Hug 2-capital Grants To Local Government,Dt1 1xj,Vendor
05/12/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Great Yarmouth Borough Council,640935,243674,Desnz - Hug 2-capital Grants To Local Government,Nr30 2qf,Grant
05/12/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Lewes District Council,640937,159762,Desnz - Hug 2-capital Grants To Local Government,Bn21 4ug,Grant
05/12/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Liverpool City Region Combined Authority,640938,194478,Desnz - Hug 2-capital Grants To Local Government,L3 1bp,Vendor
05/12/2024,Capital Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Domestic,Oxfordshire County Council,641140,262302.26,Desnz - Hug 2-capital Grants To Local Government,Ox1 1nd,Wga Only
05/12/2024,R & D Other It Consultancy,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Triad Group Plc,640746,36800,Desnz - Uk Ets-r & D Other It Consultancy,Gu7 1xe,Vendor
05/12/2024,R & D Other It Consultancy,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Astraeus Consulting Ltd,640748,28708.07,Desnz - Uk Ets-r & D Other It Consultancy,M50 1rd,Vendor
05/12/2024,R & D Other It Consultancy,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Astraeus Consulting Ltd,640751,31813.62,Desnz - Uk Ets-r & D Other It Consultancy,M50 1rd,Vendor
05/12/2024,R & D Other It Consultancy,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Astraeus Consulting Ltd,640755,167153.07,Desnz - Uk Ets-r & D Other It Consultancy,M50 1rd,Vendor
05/12/2024,R & D Other It Consultancy,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Triad Group Plc,640768,39600,Desnz - Uk Ets-r & D Other It Consultancy,Gu7 1xe,Vendor
05/12/2024,R & D Other It Consultancy,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Triad Group Plc,640770,46440,Desnz - Uk Ets-r & D Other It Consultancy,Gu7 1xe,Vendor
05/12/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Environment Agency,640779,67671.09,Desnz - Net Zero Innovation - Nuclear-r & D Outsourced Other,Np10 8fz,Wga Only
06/12/2024,Ca - Clarity Travel Management,Desnz - Corporate Services - Desnz - Finance Directorate,Corporate Travel Management (North) Ltd,641476,951835.13,Desnz - Devolved Admin-ca - Clarity Travel Management,Bd1 5hq,Vendor
