Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
19/04/2024,Economic Consultancy & Research,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Icf Consulting Services Ltd,590076,111705.32,Desnz - Carbon Hydrogen And Industry Analysis-economic Consultancy & Research,Ec4r 1be,Vendor
04/04/2024,Capital Grants To Overseas Bodies,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Science And Technology Center In Ukraine,584654,740000,Desnz - Nspf Ukraine Support-capital Grants To Overseas Bodies,03057,Vendor
18/04/2024,Other Professional Services,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",National Nuclear Laboratory Ltd,588036,210060.52,Desnz - Nuclear Safeguards Programme-other Professional Services,Wa3 6ae,Vendor
18/04/2024,Other Professional Services,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",National Nuclear Laboratory Ltd,588036,735779.47,Desnz - Nuclear Safeguards Programme-other Professional Services,Wa3 6ae,Vendor
22/04/2024,Current Grants To Overseas Bodies,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Urenco Ltd,589497,2287248.49,Desnz - Project Carousel-current Grants To Overseas Bodies,Sl2 4js,Vendor
11/04/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Kew Projects Ltd,581655,141620.74,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,B3 3hn,Vendor
04/04/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",R And B Industrial Ltd,583231,51141.18,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Sp10 3bb,Grant
11/04/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Kew Projects Ltd,583674,218878.73,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,B3 3hn,Vendor
03/04/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Pietro Fiorentini Spa,584172,53325,Desnz - Net Zero Innovation - Built-r & D Outsourced Other,36057,Vendor
03/04/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Pietro Fiorentini Spa,584189,51350,Desnz - Net Zero Innovation - Built-r & D Outsourced Other,36057,Vendor
02/04/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Cheesecake Energy Ltd,585325,43952.72,Desnz - Net Zero Innovation - Smart-r & D Outsourced Other,Ng7 2tu,Vendor
02/04/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Sac Commercial Ltd,585828,327908.27,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,Eh9 3jg,Vendor
02/04/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Lapwing Energy Ltd,585836,119455.35,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,Dn10 5bz,Vendor
03/04/2024,R & D Research And Development Expenditure,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Carbon Trust Advisory Ltd,585857,275179.81,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Research And Development Expenditure,Se1 9nt,Vendor
03/04/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Cheesecake Energy Ltd,585904,139795.99,Desnz - Net Zero Innovation - Smart-r & D Outsourced Other,Ng7 2tu,Vendor
03/04/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",The Biorenewables Development Centre Ltd,585932,302931.37,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,Yo19 5sn,Vendor
11/04/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Colas Ltd,587974,51642.44,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,B37 7yb,Grant
11/04/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Caldera Heat Batteries Ltd,588041,214668.12,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other,Po15 5tx,Grant
11/04/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Hive Composites Ltd,588102,175912.18,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other,Le11 3qf,Vendor
12/04/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Kellogg Company Of Great Britain Ltd,588283,108584.1,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other,M50 2hf,Grant
12/04/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Stoli Catalysts Ltd,588331,67156.22,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Cv35 9ef,Grant
12/04/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Pyrogenesys Ltd,588332,51852.99,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,B7 4bb,Grant
12/04/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Plan B International Solutions Ltd,588333,35614.97,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Pl6 5wr,Vendor
12/04/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Cage Technologies Ltd,588358,165841.04,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other,La2 0dz,Grant
